UTC,Dp,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
31/12/2006 4:50,12.9,321,75,938.5,1006.8,1010.1,1010.4,0,27.3,4,1059,31.6,28.1,28,26,10,34.49
31/12/2006 5:00,14,240,30,938.7,1006.9,1010.2,1010.5,0,31.4,8,1046,32,28.1,28,26,16,33.32
31/12/2006 5:10,15.3,244,35,938.9,1007,1010.3,1010.6,0,34.4,8,1033,32.4,28.1,28,26,15,33.13
31/12/2006 5:20,15,237,27,939,1007,1010.3,1010.6,0,36.3,9,1038,32.8,28.1,28,26,14,31.81
31/12/2006 5:30,15,235,28,939.2,1006.9,1010.2,1010.5,0,38.3,8,1028,33.2,28.1,28,26,14,30.93
31/12/2006 5:40,14.7,225,38,939.4,1006.8,1010.1,1010.4,0,38.5,8,1032,33.6,28.1,28,26,13,30.5
31/12/2006 5:50,14.9,228,35,939.6,1006.7,1010,1010.3,0,39.8,8,1013,34,28.2,28,26,16,30.07
31/12/2006 6:00,14.8,243,25,939.8,1006.6,1009.9,1010.2,0,38.6,10,1010,34.4,28.2,28,26,16,30.5
31/12/2006 6:10,16,228,33,939.9,1006.6,1009.9,1010.2,0,41.2,8,1008,34.8,28.2,27.9,26,11,30.77
31/12/2006 6:20,15.6,241,29,940.1,1006.5,1009.8,1010.1,0,42.2,10,991,35.2,28.2,27.9,26,16,29.84
31/12/2006 6:30,13.9,227,31,940.3,1006.5,1009.8,1010.1,0,42.3,9,985,35.5,28.3,27.9,26,17,27.9
31/12/2006 6:40,14.8,197,97,940.4,1006.3,1009.6,1009.9,0,44.3,10,989,35.8,28.3,27.9,26,16,28.1
31/12/2006 6:50,14,238,28,940.6,1006.2,1009.5,1009.8,0,42.3,12,957,36.1,28.3,27.9,26,18,28.12
31/12/2006 7:00,13.6,240,31,940.8,1006.1,1009.4,1009.7,0,40.1,10,940,36.4,28.4,27.9,26,18,28.56
31/12/2006 7:10,13.3,232,32,940.9,1006,1009.3,1009.6,0,39.1,9,911,36.7,28.4,27.9,26,17,28.6
31/12/2006 7:20,14.2,228,35,941.1,1006,1009.3,1009.6,0,43.3,9,889,37,28.5,27.9,26,17,27.89
31/12/2006 7:30,14,233,27,941.2,1006.2,1009.6,1009.8,0,43.7,11,855,37.2,28.5,27.9,26,17,27.44
31/12/2006 7:40,14.3,40,43,941.3,1006.2,1009.6,1009.8,0,44,9,825,37.5,28.6,27.9,26,17,27.67
31/12/2006 7:50,13.9,221,33,941.5,1006.1,1009.5,1009.7,0,44.8,10,794,37.7,28.6,27.9,26,17,26.99
31/12/2006 8:00,13.4,224,32,941.6,1006.1,1009.5,1009.7,0,43.3,9,782,37.9,28.7,27.9,26,18,26.95
31/12/2006 8:10,13.8,43,85,941.7,1006,1009.4,1009.6,0,43.8,9,734,38,28.7,27.9,26,19,27.19
31/12/2006 8:20,13.8,217,35,941.9,1006.1,1009.5,1009.7,0,44.1,8,698,38.2,28.8,27.9,26,15,27.09
31/12/2006 8:30,13.3,220,35,942,1006.1,1009.5,1009.7,0,43.9,8,660,38.3,28.8,27.9,26,12,26.6
31/12/2006 8:40,13.3,213,32,942.1,1006.1,1009.5,1009.7,0,43.2,8,625,38.5,28.9,27.9,26,17,26.92
31/12/2006 8:50,13.8,216,30,942.2,1006,1009.4,1009.6,0,42.6,8,605,38.6,29,27.9,26,12,27.66
31/12/2006 9:00,13.6,217,38,942.3,1006,1009.3,1009.6,0,41.8,8,552,38.7,29.1,27.9,26,13,27.79
31/12/2006 9:10,12.3,263,38,942.4,1005.9,1009.3,1009.5,0,39.2,9,528,38.7,29.1,27.9,26,16,27.41
31/12/2006 9:20,12.7,221,33,942.5,1005.7,1009.1,1009.3,0,39.4,8,483,38.8,29.2,27.8,26,19,27.81
31/12/2006 9:30,12.8,215,36,942.6,1005.8,1009.1,1009.4,0,38.1,7,452,38.9,29.2,27.8,26,13,28.42
31/12/2006 9:40,12.6,202,32,942.6,1005.8,1009.2,1009.4,0,39.4,7,418,38.9,29.3,27.8,26,12,27.73
31/12/2006 9:50,12.3,199,28,942.7,1005.8,1009.2,1009.4,0,39.6,8,381,38.9,29.4,27.8,26,12,27.27
31/12/2006 10:00,12.7,209,42,942.8,1005.9,1009.3,1009.5,0,40.3,7,354,38.9,29.4,27.8,26,11,27.48
31/12/2006 10:10,13.5,215,35,942.8,1006,1009.4,1009.6,0,42.5,7,313,38.8,29.5,27.8,26,11,27.38
31/12/2006 10:20,13.5,210,34,942.9,1006.1,1009.5,1009.7,0,43.5,8,281,38.8,29.6,27.8,26,13,27.04
31/12/2006 10:30,13.5,207,33,942.9,1006.2,1009.6,1009.8,0,44.2,7,257,38.7,29.6,27.8,26,11,26.78
31/12/2006 10:40,13.7,205,28,943,1006.3,1009.7,1009.9,0,45.3,7,215,38.6,29.7,27.8,26,10,26.6
31/12/2006 10:50,16.4,217,25,943,1006.4,1009.8,1010,0,55.4,5,158,38.5,29.8,27.8,26,8,26.05
31/12/2006 11:00,16.4,212,25,943,1006.3,1009.7,1009.9,0,57.3,4,111,38.3,29.8,27.8,26,7,25.55
31/12/2006 11:10,14.5,203,26,943,1006.3,1009.7,1009.9,0,51.3,6,76,38.2,29.9,27.8,26,9,25.28
31/12/2006 11:20,14.7,205,26,943.1,1006.4,1009.8,1010,0,53.6,6,66,38.1,30,27.8,26,10,24.83
31/12/2006 11:30,15,209,33,943.1,1006.5,1009.9,1010.1,0,55.7,5,35,37.9,30,27.8,26,11,24.53
31/12/2006 11:40,16.6,226,30,943.1,1006.6,1010,1010.2,0,64.9,6,28,37.7,30.1,27.8,26,10,23.66
31/12/2006 11:50,17.5,228,25,943.1,1006.8,1010.2,1010.4,0,71.2,6,19,37.5,30.1,27.8,26,11,23.01
31/12/2006 12:00,17.7,223,27,943.1,1006.8,1010.2,1010.4,0,74,5,22,37.3,30.2,27.8,26,8,22.66
31/12/2006 12:10,17.8,225,24,943.1,1006.9,1010.3,1010.5,0,75.4,5,13,37.1,30.2,27.8,26,8,22.44
31/12/2006 12:20,17.7,221,25,943.1,1006.9,1010.3,1010.5,0,75.9,5,14,36.9,30.3,27.8,26,8,22.25
31/12/2006 12:30,17.7,214,27,943.1,1007,1010.4,1010.6,0,75.7,4,15,36.7,30.3,27.8,26,7,22.26
31/12/2006 12:40,17.2,205,21,943.1,1007.1,1010.5,1010.7,0,73.5,4,21,36.5,30.4,27.8,26,7,22.26
31/12/2006 12:50,17,204,18,943.1,1007.1,1010.5,1010.7,0,72.9,4,14,36.3,30.4,27.8,26,6,22.13
31/12/2006 13:00,16.9,199,19,943.1,1007.2,1010.6,1010.8,0,72.4,5,4,36,30.5,27.8,26,8,22.1
31/12/2006 13:10,17,172,55,943.1,1007.2,1010.6,1010.8,0,74.6,3,19,35.8,30.5,27.8,26,5,21.79
31/12/2006 13:20,17.6,219,23,943.1,1007.3,1010.7,1010.9,0,77.9,4,20,35.6,30.5,27.8,26,6,21.65
31/12/2006 13:30,17.3,203,21,943,1007.3,1010.7,1010.9,0,76.4,4,16,35.3,30.6,27.8,26,8,21.7
31/12/2006 13:40,16.9,202,21,943,1007.4,1010.8,1011,0,74.9,4,14,35.1,30.6,27.8,26,7,21.61
31/12/2006 13:50,16.9,199,17,943,1007.4,1010.8,1011,0,74.8,4,15,34.9,30.6,27.8,26,6,21.58
31/12/2006 14:00,17,198,15,943,1007.5,1010.9,1011.1,0,75.7,5,12,34.7,30.7,27.8,26,8,21.47
31/12/2006 14:10,17,202,20,943,1007.5,1010.9,1011.1,0,76.8,3,20,34.5,30.7,27.8,26,5,21.28
31/12/2006 14:20,17.1,198,10,943,1007.4,1010.8,1011,0,78.1,4,16,34.3,30.7,27.8,26,5,21.11
31/12/2006 14:30,17.1,195,11,943,1007.5,1010.9,1011.1,0,79,4,16,34,30.7,27.8,26,5,20.93
31/12/2006 14:40,17.4,198,19,943,1007.5,1010.9,1011.1,0,80.4,4,11,33.8,30.7,27.8,26,6,20.98
31/12/2006 14:50,17.5,205,20,943,1007.4,1010.8,1011,0,81.3,4,14,33.6,30.7,27.9,26,7,20.83
31/12/2006 15:00,17.5,204,24,943,1007.4,1010.8,1011,0,82,3,8,33.4,30.8,27.9,26,5,20.69
31/12/2006 15:10,17.3,197,11,943,1007.3,1010.7,1010.9,0,82.6,3,18,33.2,30.8,27.9,26,4,20.43
31/12/2006 15:20,17.3,194,6,943,1007.3,1010.7,1010.9,0,83.7,3,17,33,30.8,27.9,26,4,20.24
31/12/2006 15:30,17.8,199,14,943,1007.2,1010.6,1010.8,0,86.2,3,14,32.8,30.8,27.9,26,5,20.27
31/12/2006 15:40,18,206,15,943,1007.2,1010.6,1010.8,0,87.4,3,22,32.7,30.8,27.9,26,4,20.23
31/12/2006 15:50,18.3,205,16,943,1007.1,1010.5,1010.7,0,88.6,4,19,32.5,30.8,27.9,26,5,20.26
31/12/2006 16:00,18.2,214,13,943,1007.1,1010.5,1010.7,0,89,3,22,32.3,30.8,27.9,26,5,20.15
31/12/2006 16:10,18.3,231,16,943,1007,1010.4,1010.6,0,89.9,1,3,32.1,30.8,27.9,26,4,20.01
31/12/2006 16:20,18.4,216,11,943,1006.9,1010.3,1010.5,0,91.2,0,13,31.9,30.8,27.9,26,3,19.93
31/12/2006 16:30,18.4,202,8,942.9,1007,1010.4,1010.6,0,92.2,2,15,31.7,30.8,27.9,26,4,19.79
31/12/2006 16:40,18.4,194,13,942.9,1007,1010.4,1010.6,0,92.9,2,21,31.6,30.8,27.9,26,5,19.66
31/12/2006 16:50,18.4,188,12,942.9,1006.8,1010.2,1010.4,0,93.4,3,22,31.4,30.7,27.9,26,5,19.54
31/12/2006 17:00,18.4,211,12,942.9,1006.8,1010.2,1010.4,0,94,2,18,31.2,30.7,27.9,26,5,19.48
31/12/2006 17:10,18.5,194,12,942.9,1006.7,1010.1,1010.3,0,94.5,2,19,31.1,30.7,27.9,26,4,19.43
31/12/2006 17:20,18.3,204,27,942.9,1006.6,1010,1010.2,0,94.6,1,18,30.9,30.7,28,26,4,19.19
31/12/2006 17:30,18.1,260,1,942.9,1006.5,1009.9,1010.1,0,95,0,11,30.8,30.7,27.9,26,0,18.94
31/12/2006 17:40,18,261,6,942.9,1006.4,1009.8,1010,0,95.5,0,9,30.6,30.7,28,26,0,18.81
31/12/2006 17:50,18.1,260,0,942.9,1006.3,1009.7,1009.9,0,96.2,0,24,30.5,30.7,28,26,0,18.73
31/12/2006 18:00,18,260,0,942.9,1006.2,1009.6,1009.8,0,96.7,0,17,30.3,30.6,28,26,0,18.57
31/12/2006 18:10,18,260,7,942.9,1006.2,1009.6,1009.8,0,97.3,0,17,30.2,30.6,28,26,0,18.48
31/12/2006 18:20,17.9,260,0,942.8,1006.1,1009.5,1009.7,0,97.6,0,16,30,30.6,28,26,0,18.31
31/12/2006 18:30,17.9,260,0,942.8,1005.9,1009.3,1009.5,0,97.6,0,14,29.9,30.6,28,26,0,18.32
31/12/2006 18:40,17.5,260,0,942.8,1005.9,1009.4,1009.5,0,97.6,0,10,29.7,30.6,28,26,0,17.98
31/12/2006 18:50,17.2,235,24,942.8,1006.1,1009.6,1009.7,0,97.6,1,10,29.6,30.5,28,26,4,17.66
31/12/2006 19:00,17.2,224,11,942.8,1005.9,1009.4,1009.5,0,97.7,0,15,29.4,30.5,28,26,0,17.6
31/12/2006 19:10,17.1,155,14,942.8,1006,1009.5,1009.6,0,97.7,0,12,29.3,30.5,28,26,0,17.5
31/12/2006 19:20,17.2,151,0,942.8,1006,1009.5,1009.6,0,97.7,0,11,29.2,30.4,28,26,0,17.62
31/12/2006 19:30,17.3,151,0,942.8,1006.1,1009.6,1009.7,0,97.8,0,10,29,30.4,28,26,0,17.68
31/12/2006 19:40,16.9,216,15,942.8,1006.1,1009.6,1009.7,0,97.7,0,9,28.9,30.4,28,26,0,17.27
31/12/2006 19:50,16.7,219,3,942.8,1006.1,1009.6,1009.7,0,97.8,0,15,28.7,30.4,28.1,26,0,17.11
31/12/2006 20:00,16.7,185,6,942.7,1006,1009.5,1009.6,0,97.8,0,21,28.6,30.3,28,26,1,17.1
31/12/2006 20:10,16.6,163,11,942.7,1006,1009.5,1009.6,0,97.8,2,23,28.5,30.3,28.1,26,4,17.03
31/12/2006 20:20,16.6,158,7,942.7,1005.9,1009.4,1009.5,0,97.9,3,15,28.3,30.3,28.1,26,4,17.01
31/12/2006 20:30,16.4,160,3,942.7,1005.9,1009.4,1009.5,0,97.8,2,21,28.2,30.2,28.1,26,4,16.83
31/12/2006 20:40,16.3,160,7,942.7,1005.8,1009.3,1009.4,0,97.9,3,15,28.1,30.2,28.1,26,4,16.64
31/12/2006 20:50,16,171,17,942.7,1005.9,1009.4,1009.5,0,97.9,1,19,27.9,30.2,28.1,26,3,16.4
31/12/2006 21:00,16.3,224,5,942.7,1006.1,1009.6,1009.7,0,97.9,0,20,27.8,30.1,28.1,26,2,16.66
31/12/2006 21:10,16.1,210,6,942.7,1006.2,1009.7,1009.8,0,97.9,0,3,27.7,30.1,28.1,26,1,16.46
31/12/2006 21:20,15.9,209,9,942.7,1006.4,1009.9,1010,0,97.9,0,10,27.6,30.1,28.1,26,1,16.31
31/12/2006 21:30,15.8,208,2,942.7,1006.5,1010,1010.1,0,97.9,0,20,27.4,30,28.1,26,0,16.18
31/12/2006 21:40,15.8,197,6,942.7,1006.6,1010.1,1010.2,0,97.9,0,25,27.3,30,28.1,26,0,16.22
31/12/2006 21:50,15.8,179,3,942.6,1006.6,1010.1,1010.2,0,97.9,0,30,27.2,29.9,28.1,26,0,16.23
31/12/2006 22:00,15.9,185,7,942.6,1006.7,1010.2,1010.3,0,98,0,63,27.1,29.9,28.1,26,0,16.27
31/12/2006 22:10,16.4,165,12,942.6,1006.8,1010.3,1010.4,0,98,1,59,27,29.9,28.1,26,4,16.78
31/12/2006 22:20,16.6,163,10,942.6,1006.9,1010.4,1010.5,0,98.1,3,74,26.8,29.8,28.1,26,5,16.96
31/12/2006 22:30,16.9,173,22,942.6,1006.8,1010.3,1010.4,0,98,4,97,26.7,29.8,28.1,26,6,17.22
31/12/2006 22:40,17.6,170,14,942.6,1006.8,1010.3,1010.4,0,98,5,125,26.6,29.8,28.1,26,8,17.94
31/12/2006 22:50,18.2,171,17,942.6,1006.8,1010.2,1010.4,0,97.9,5,176,26.5,29.7,28.1,26,7,18.54
31/12/2006 23:00,18.2,168,19,942.7,1007,1010.4,1010.6,0,97.2,6,245,26.4,29.7,28.2,26,9,18.68
31/12/2006 23:10,16.6,177,19,942.7,1007,1010.5,1010.6,0,88.1,6,272,26.3,29.6,28.1,26,9,18.63
31/12/2006 23:20,15.5,184,21,942.7,1006.9,1010.4,1010.5,0,81.7,6,308,26.3,29.6,28.2,26,12,18.7
31/12/2006 23:30,15.5,187,23,942.8,1006.9,1010.4,1010.5,0,80.2,6,348,26.2,29.6,28.1,26,11,19
31/12/2006 23:40,15.1,195,24,942.8,1006.9,1010.3,1010.5,0,77.7,6,385,26.1,29.5,28.2,26,10,19.12
31/12/2006 23:50,14.8,191,25,942.9,1007,1010.4,1010.6,0,74.2,7,426,26.1,29.5,28.2,26,10,19.6
1/01/2007 0:00,14.9,188,22,942.9,1007,1010.4,1010.6,0,72.1,6,447,26,29.4,28.2,26,10,20.13
1/01/2007 0:10,15,187,22,943,1007,1010.4,1010.6,0,69.9,6,491,26,29.4,28.2,26,9,20.74
1/01/2007 0:20,15.4,180,20,943,1007,1010.4,1010.6,0,67.4,6,524,26,29.3,28.2,26,9,21.75
1/01/2007 0:30,14.9,194,28,943.1,1007,1010.4,1010.6,0,65.7,5,567,26,29.3,28.2,26,9,21.64
1/01/2007 0:40,15.1,199,29,943.2,1006.9,1010.3,1010.5,0,65,5,590,26,29.3,28.2,26,10,22.01
1/01/2007 0:50,14.7,206,29,943.3,1006.9,1010.3,1010.5,0,64.6,6,624,26,29.2,28.2,26,10,21.66
1/01/2007 1:00,15.4,200,26,943.4,1007,1010.4,1010.6,0,63.6,6,664,26.1,29.2,28.2,26,10,22.75
1/01/2007 1:10,15.6,203,30,943.5,1007,1010.4,1010.6,0,62.2,5,702,26.1,29.2,28.2,26,8,23.3
1/01/2007 1:20,15.8,226,28,943.6,1006.8,1010.2,1010.4,0,62.7,7,711,26.2,29.1,28.2,26,15,23.38
1/01/2007 1:30,16,233,29,943.7,1006.8,1010.2,1010.4,0,62.9,8,754,26.3,29.1,28.2,26,14,23.56
1/01/2007 1:40,16.1,234,26,943.8,1006.9,1010.3,1010.5,0,63.1,9,780,26.4,29,28.2,26,16,23.57
1/01/2007 1:50,16.6,237,24,943.9,1006.9,1010.3,1010.5,0,63.1,8,809,26.6,29,28.2,26,16,24.16
1/01/2007 2:00,16.6,219,29,944,1006.9,1010.3,1010.5,0,63.5,7,837,26.7,28.9,28.2,26,14,24
1/01/2007 2:10,16.7,223,32,944.2,1006.9,1010.3,1010.5,0,62.4,7,868,26.9,28.9,28.2,26,13,24.42
1/01/2007 2:20,17.1,240,28,944.3,1006.8,1010.2,1010.4,0,63.4,9,893,27.1,28.9,28.2,26,17,24.57
1/01/2007 2:30,17.4,228,34,944.4,1006.7,1010.1,1010.3,0,64.5,8,918,27.3,28.8,28.2,26,15,24.55
1/01/2007 2:40,16.7,235,32,944.6,1006.8,1010.2,1010.4,0,61.9,7,946,27.6,28.8,28.2,26,14,24.55
1/01/2007 2:50,16.5,240,26,944.7,1006.8,1010.2,1010.4,0,60.4,9,963,27.8,28.8,28.2,26,16,24.77
1/01/2007 3:00,16,239,34,944.8,1006.8,1010.2,1010.4,0,59,8,979,28.1,28.8,28.2,26,14,24.61
1/01/2007 3:10,15.6,1,65,945,1006.8,1010.2,1010.4,0,59.2,8,1004,28.3,28.7,28.2,26,16,24.09
1/01/2007 3:20,16.3,232,30,945.1,1006.6,1010,1010.2,0,58.3,8,1008,28.6,28.7,28.2,26,14,25.08
1/01/2007 3:30,15.8,235,27,945.3,1006.6,1010,1010.2,0,57.8,10,1030,28.9,28.7,28.2,26,16,24.67
1/01/2007 3:40,16.2,232,29,945.5,1006.6,1010,1010.2,0,57.1,8,1045,29.2,28.7,28.2,26,15,25.37
1/01/2007 3:50,15.2,220,29,945.6,1006.6,1010,1010.2,0,54.4,8,1048,29.5,28.6,28.2,26,15,25.08
1/01/2007 4:00,14.4,231,30,945.8,1006.6,1010,1010.2,0,52.4,9,1055,29.8,28.6,28.2,26,17,24.87
1/01/2007 4:10,13.9,226,28,945.9,1006.7,1010.1,1010.3,0,50.4,9,1067,30.1,28.6,28.2,26,17,24.95
1/01/2007 4:20,15,232,32,946.1,1006.7,1010.1,1010.3,0,51.1,10,1073,30.4,28.6,28.1,26,17,25.96
1/01/2007 4:30,12.9,240,25,946.3,1006.7,1010.1,1010.3,0,45.8,11,1067,30.7,28.6,28.2,26,17,25.48
1/01/2007 4:40,14,270,77,946.4,1006.6,1010,1010.2,0,50.2,8,1073,31,28.6,28.1,26,17,25.11
1/01/2007 4:50,14.3,227,35,946.6,1006.6,1010,1010.2,0,51.5,9,1060,31.3,28.5,28.1,26,16,25.08
1/01/2007 5:00,14.5,237,29,946.8,1006.6,1010,1010.2,0,51.5,10,1061,31.6,28.6,28.1,26,18,25.25
1/01/2007 5:10,14.1,236,30,946.9,1006.6,1010,1010.2,0,51.6,10,1058,31.9,28.5,28.1,26,19,24.76
1/01/2007 5:20,15.2,231,32,947.1,1006.5,1009.9,1010.1,0,52.8,8,1059,32.3,28.5,28.1,26,16,25.62
1/01/2007 5:30,13,221,28,947.3,1006.5,1009.9,1010.1,0,48.7,8,1042,32.6,28.6,28.1,26,16,24.54
1/01/2007 5:40,14.3,2,76,947.4,1006.4,1009.8,1010,0,50.5,7,1036,32.9,28.6,28.1,26,14,25.39
1/01/2007 5:50,13.5,242,29,947.6,1006.4,1009.8,1010,0,47.6,10,1023,33.2,28.6,28.1,26,17,25.47
1/01/2007 6:00,14.9,234,29,947.8,1006.4,1009.8,1010,0,51.8,9,1004,33.5,28.6,28.1,26,14,25.62
1/01/2007 6:10,14.9,237,29,947.9,1006.4,1009.8,1010,0,50.9,9,1003,33.8,28.6,28.1,26,18,25.94
1/01/2007 6:20,14.3,238,27,948.1,1006.4,1009.8,1010,0,52.2,12,995,34.1,28.6,28.1,26,21,24.83
1/01/2007 6:30,15.9,238,30,948.2,1006.3,1009.7,1009.9,0,54.5,10,975,34.3,28.7,28.1,26,19,25.79
1/01/2007 6:40,15.3,245,28,948.4,1006.3,1009.7,1009.9,0,53.7,11,969,34.6,28.7,28.1,26,20,25.42
1/01/2007 6:50,15.9,258,29,948.5,1006.1,1009.5,1009.7,0,55.8,11,961,34.9,28.7,28.1,26,20,25.46
1/01/2007 7:00,15.6,253,25,948.7,1006.1,1009.5,1009.7,0,56.7,11,938,35.2,28.7,28.1,26,19,24.86
1/01/2007 7:10,15.7,254,27,948.8,1006.1,1009.5,1009.7,0,53.7,10,913,35.4,28.8,28.1,26,18,25.86
1/01/2007 7:20,15.5,244,31,949,1005.9,1009.3,1009.5,0,54.5,9,904,35.6,28.8,28.1,26,17,25.34
1/01/2007 7:30,16.1,257,25,949.1,1005.8,1009.2,1009.4,0,56.9,12,914,35.9,28.8,28.1,26,17,25.26
1/01/2007 7:40,16,262,31,949.2,1005.8,1009.2,1009.4,0,56.8,11,973,36.1,28.9,28.1,26,18,25.24
1/01/2007 7:50,16.2,257,27,949.4,1005.7,1009.1,1009.3,0,57,10,961,36.3,28.9,28.1,26,18,25.34
1/01/2007 8:00,15.7,254,28,949.5,1005.7,1009.1,1009.3,0,58.1,9,905,36.5,28.9,28.1,26,18,24.58
1/01/2007 8:10,16,238,25,949.6,1005.5,1008.9,1009.1,0,57.6,8,581,36.7,29,28.1,26,15,24.94
1/01/2007 8:20,15.5,245,30,949.7,1005.8,1009.2,1009.4,0,58.1,10,812,36.8,29.1,28,26,16,24.31
1/01/2007 8:30,14.8,242,28,949.8,1006,1009.4,1009.6,0,57,10,135,37,29.1,28,26,17,23.88
1/01/2007 8:40,15.3,245,29,949.9,1005.9,1009.3,1009.5,0,58.7,11,112,37.1,29.1,28.1,26,18,23.98
1/01/2007 8:50,15.5,241,28,949.9,1005.9,1009.3,1009.5,0,60.4,10,572,37.3,29.2,28.1,26,17,23.71
1/01/2007 9:00,15.8,241,28,950,1006,1009.4,1009.6,0,61.5,11,656,37.4,29.2,28,26,18,23.64
1/01/2007 9:10,15.8,250,24,950.1,1005.9,1009.3,1009.5,0,60.3,11,629,37.4,29.3,28,26,17,24
1/01/2007 9:20,14.9,260,22,950.2,1005.8,1009.2,1009.4,0,58.3,12,162,37.5,29.3,28,26,21,23.65
1/01/2007 9:30,15.7,247,22,950.2,1005.7,1009.1,1009.3,0,60.3,11,550,37.5,29.4,28,26,19,23.86
1/01/2007 9:40,15.4,249,25,950.3,1005.8,1009.2,1009.4,0,61.1,9,198,37.5,29.5,28,26,17,23.41
1/01/2007 9:50,16,233,32,950.3,1005.8,1009.2,1009.4,0,65.1,8,505,37.5,29.5,28,26,15,22.91
1/01/2007 10:00,16.1,256,19,950.4,1005.8,1009.2,1009.4,0,64.2,9,503,37.5,29.5,28,26,15,23.29
1/01/2007 10:10,15.4,251,27,950.4,1005.7,1009.1,1009.3,0,61.2,9,360,37.4,29.6,28,26,16,23.34
1/01/2007 10:20,15.2,248,24,950.5,1005.7,1009.1,1009.3,0,62.4,9,319,37.4,29.7,28,26,15,22.85
1/01/2007 10:30,15.2,238,27,950.5,1005.7,1009.1,1009.3,0,62.9,8,300,37.3,29.7,28,26,12,22.72
1/01/2007 10:40,15.3,246,27,950.6,1005.7,1009.1,1009.3,0,63.8,7,81,37.2,29.8,28,26,13,22.58
1/01/2007 10:50,15.5,244,20,950.6,1005.7,1009.1,1009.3,0,65.4,8,86,37.1,29.8,28,26,12,22.39
1/01/2007 11:00,15.3,246,26,950.6,1005.7,1009.1,1009.3,0,66.6,8,63,36.9,29.9,28,26,13,21.82
1/01/2007 11:10,15.5,241,27,950.6,1005.8,1009.2,1009.4,0,67.8,6,69,36.8,29.9,28,26,11,21.75
1/01/2007 11:20,15.3,231,27,950.6,1005.8,1009.2,1009.4,0,67.8,6,64,36.6,30,28,26,11,21.57
1/01/2007 11:30,15.2,245,22,950.6,1005.9,1009.3,1009.5,0,68.3,8,63,36.5,30,28,26,11,21.35
1/01/2007 11:40,15.3,230,26,950.6,1006,1009.4,1009.6,0,69.6,6,30,36.3,30.1,28,26,9,21.12
1/01/2007 11:50,15.4,229,26,950.6,1006,1009.4,1009.6,0,71,6,25,36.1,30.1,28,26,10,20.86
